Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Promotion Used,Days Between Purchases,Frequency Engagement,Subscription Flag,Previous Purchases Norm,Frequency Engagement Norm,Review Rating Norm,Loyalty Score,Customer Loyalty Type,Purchase Amount Norm,Customer Value Score,Customer Value Tier,Ideal Customer,Age Group,Promo Flag
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,14,Venmo,Fortnightly,1,14,0.07142857142857142,1,0.26530612244897955,0.4902234636871508,0.2400000000000002,0.39120892714627753,Regular,0.4125000000000001,0.53,Medium Value,Other Customer,46-55,1
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,2,Cash,Fortnightly,1,14,0.07142857142857142,1,0.02040816326530612,0.4902234636871508,0.2400000000000002,0.26875994755444077,Regular,0.55,0.6400000000000001,Medium Value,Other Customer,18-25,1
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,1,7,0.14285714285714285,1,0.44897959183673464,1.0,0.2400000000000002,0.6104897959183674,Champion,0.6625000000000001,0.7300000000000002,High Value,Ideal Customer,46-55,1
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,Weekly,1,7,0.14285714285714285,1,0.9795918367346937,1.0,0.40000000000000013,0.8997959183673468,Champion,0.875,0.9000000000000001,High Value,Ideal Customer,18-25,1
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,Annually,1,365,0.0027397260273972603,1,0.6122448979591836,0.0,0.08000000000000007,0.41812244897959183,Regular,0.36250000000000004,0.49000000000000005,Medium Value,Other Customer,36-45,1
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,14,Venmo,Weekly,1,7,0.14285714285714285,1,0.26530612244897955,1.0,0.15999999999999992,0.5066530612244897,Loyal,0.0,0.2,Low Value,Other Customer,46-55,1
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,1,90,0.011111111111111112,1,0.9795918367346937,0.05974549968963377,0.28000000000000025,0.6467322932897553,Champion,0.8125,0.8500000000000001,High Value,Ideal Customer,56-65,1
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,1,7,0.14285714285714285,1,0.36734693877551017,1.0,0.28000000000000025,0.5756734693877551,Loyal,0.17500000000000004,0.3400000000000001,Low Value,Other Customer,26-35,1
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually,1,365,0.0027397260273972603,1,0.14285714285714285,0.0,0.040000000000000036,0.17742857142857144,At Risk,0.9625000000000001,0.9700000000000002,High Value,Other Customer,26-35,1
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,1,90,0.011111111111111112,1,0.061224489795918366,0.05974549968963377,0.9199999999999999,0.2835486198203676,Regular,0.1375,0.31000000000000005,Low Value,Other Customer,56-65,1
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Fortnightly,1,14,0.07142857142857142,1,0.510204081632653,0.4902234636871508,0.6399999999999999,0.5736579067381141,Loyal,0.17500000000000004,0.3400000000000001,Low Value,Other Customer,46-55,1
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Fortnightly,1,14,0.07142857142857142,1,0.18367346938775508,0.4902234636871508,0.9600000000000002,0.4583926006156652,Regular,0.6000000000000001,0.6800000000000002,Medium Value,Other Customer,26-35,1
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,37,Venmo,Fortnightly,1,14,0.07142857142857142,1,0.7346938775510203,0.4902234636871508,0.8,0.7099028046972978,Champion,0.65,0.72,High Value,Ideal Customer,56-65,1
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,1,7,0.14285714285714285,1,0.6122448979591836,1.0,0.8800000000000001,0.7881224489795917,Champion,0.38750000000000007,0.51,Medium Value,Other Customer,56-65,1
